Processed Query;Total Tokens;Stop Words;Unknown Words;Method Calls;Verbs;Nouns;Proportion of Verbs;Proportion of Nouns;Likert;Answers;Query Problem
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
add to beginning of list clojure;6;3;0;0;1;3;16.67;50.0;1;5;other language
;;;;;;;;;;;
can we suspend/disable Control-M job for a period of time strictly fro;12;4;0;0;0;5;0.0;41.67;1;5;environment
;;;;;;;;;;;
null pointer exception;3;0;0;0;0;2;0.0;66.67;1;5;too general
;;;;;;;;;;;
how to freeze a table header using jquery;8;3;0;0;2;3;25.0;37.5;1;5;other language
;;;;;;;;;;;
itk image registration how to register;6;2;0;0;1;3;16.67;50.0;1;5;no obvious reason
;;;;;;;;;;;
acknowledge SqsListener message;3;0;0;0;1;2;33.33;66.67;1;10;no obvious reason
;;;;;;;;;;;
502 bad gateway running a jsp on tomcat;8;1;0;0;1;3;12.5;37.5;1;5;debug corrective
;;;;;;;;;;;
delete item from list;4;1;0;0;1;2;25.0;50.0;1;5;no obvious reason
;;;;;;;;;;;
how do I print hello world;6;4;0;0;2;1;33.33;16.67;1;5;no obvious reason
;;;;;;;;;;;
how to remove an element from an array;8;4;0;0;1;2;12.5;25.0;1;10;no obvious reason
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how to define singleton;4;2;0;0;1;1;25.0;25.0;1;5;no obvious reason
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
how do I add headers to a reponse in flask;10;4;0;0;2;3;20.0;30.0;1;5;other language
;;;;;;;;;;;
Connect Logitech MX Anywhere in Ubuntu;6;1;0;0;1;4;16.67;66.67;1;10;non development
;;;;;;;;;;;
Connect 'Logitech MX Anywhere mouse' in Ubuntu;7;1;0;0;1;5;14.29;71.43;1;10;non development
;;;;;;;;;;;
Check if a user is running IE10;7;2;0;0;3;2;42.86;28.57;1;5;no obvious reason
;;;;;;;;;;;
How to create an interface in typescript;7;3;0;0;1;2;14.29;28.57;1;5;other language
;;;;;;;;;;;
crozier;1;0;0;0;0;1;0.0;100.0;1;5;strange query
;;;;;;;;;;;
how to create singleton class;5;2;0;0;1;2;20.0;40.0;1;1;no obvious reason
;;;;;;;;;;;
keras non trainable parameter;4;1;0;0;0;1;0.0;25.0;1;5;no obvious reason
;;;;;;;;;;;
spring databuffer to string;4;1;0;0;0;3;0.0;75.0;1;5;no obvious reason
;;;;;;;;;;;
for loop;2;1;0;0;0;1;0.0;50.0;1;1;no obvious reason
;;;;;;;;;;;
loop for 6 times;4;1;0;0;0;2;0.0;50.0;1;1;too specific
;;;;;;;;;;;
how to find list in string;6;3;0;0;1;2;16.67;33.33;1;5;no obvious reason
;;;;;;;;;;;
how to write bytes to a tcp socket stream?;9;2;0;0;1;4;11.11;44.44;1;5;no obvious reason
;;;;;;;;;;;
how to remove the disabled attribute with jquery;8;4;0;0;1;2;12.5;25.0;1;5;no obvious reason
;;;;;;;;;;;
How to call a REST API from PowerShell;8;2;0;0;1;3;12.5;37.5;1;5;non development
;;;;;;;;;;;
