counter question1 question2 proximity
2 26335959 17764092 0.6371897966877056
3 36198696 10728377 0.6800218620948797
4 50496992 4515676 0.7501711220091206
5 40104595 9991799 0.6408784260958698
6 5945867 5710394 0.9981294162001408
7 31775276 10743241 0.9477117332345347
8 18458682 516399 0.9851533783316655
9 11974251 537174 0.9824527069038472
10 32633949 13102045 0.6695064428451949
11 48326150 47187662 0.9951515120701564
12 43834003 513832 0.09321540214426528
13 34287991 76223 0.9985872808714915
14 25222325 6157020 0.943142290709458
15 49077443 2770321 0.17327610448201522
16 14649819 3522454 0.6543897178144142
17 25333574 6343166 0.4886328274103201
18 24154954 441196 0.9395653628988258
20 8375452 4504974 0.6462599645901349
21 31089355 513832 0.6301294715944132
22 18225572 316352 0.9057685500953482
23 19083553 2346763 0.6542545483424371
24 24287774 1040868 0.3725195554108388
25 35703175 8200853 0.8362873045744371
26 17221254 12758338 0.5697573054212662
28 20251973 13566210 0.4557940423527904
29 2225344 5407250 0.15849701551141424
30 28510761 513832 0.08256032011796656
31 16627052 13033037 0.9564513400539792
32 43424863 15769035 0.9096822644262417
33 37156447 9499908 0.39376526425319475
34 2119731 2633834 0.8962189118985903
35 23445546 8064570 0.9863477288521827
36 26155174 22489398 0.9364840933631806
37 30606649 14295469 0.45059103657309385
38 49635171 513832 0.14457577433655924
39 2863852 41107 0.6211343684292328
40 46949759 4266756 0.8544704163522147
41 17743406 662191 0.9860117426666366
42 17012711 2309970 0.7342613511433981
43 19411766 1293152 0.7002238145459504
44 25278920 1532461 0.5471217916483284
45 11469898 3351837 0.8294180876050948
46 35113747 13102045 0.9270070221746878
47 3315938 3308351 0.9327759321489226
48 14360497 376201 0.9474023057928755
49 18091362 1494800 0.6989736132450335
50 2583367 1256667 0.49202268857385933
51 7646556 693597 0.881640164687672
52 14980668 14805420 0.9412625360600794
53 28911076 28873407 0.823092821987811
54 17258150 726395 0.8183487241459527
55 40674233 473282 0.32191470866019206
56 8254643 4774168 0.9100775841151016
57 16323179 12147631 0.4826348800753862
58 11538746 7953567 0.7360053199880405
59 13300838 11679373 0.9086828651101699
60 9900245 6800590 0.8264693000153863
61 21942126 2905224 0.6513253146663466
62 1978933 1515437 0.8838753556147546
63 2407206 4635377 0.7922219875237684
64 19954253 880581 0.04755917207529113
66 30510344 29966311 0.8629465655454502
67 39895203 26061781 0.8891072597067549
68 22771471 16030858 0.6202390561209743
69 20929766 185937 0.6321081977636879
70 36301543 12575990 0.9701670948170695
71 32712833 3838527 0.9956240244559839
72 38636003 218384 0.05231551544764437
73 40555382 3784197 0.9285396276069534
74 4162300 15657569 0.49979142629014095
75 27687385 26120311 0.9823998994699856
76 16206065 19843506 0.16436714298414726
77 8104778 52353 0.507953897709866
78 47289920 4691962 0.9622137037639319
79 8715979 6432545 0.7699790427474558
80 15879495 2206378 0.9821660700019599
81 12140685 4633678 0.6612515718405677
82 11554935 415687 0.6675633499211162
83 20673812 1625234 0.9925934575356253
84 20654404 3767794 0.7344891327244152
85 14181686 13699075 0.8172264256129617
86 14013983 407255 0.8721368158694099
87 25104550 380813 0.9652053967432274
88 4920941 1568091 0.8605295313308942
89 33231849 12351244 0.538482899015163
90 15139040 7352493 0.9427432826916967
91 32558578 2192764 0.6687890383942308
92 35171344 35054695 0.9693618443177462
93 1494163 9531158 0.9344531826471465
94 3562824 21817 0.746797057486733
95 30504384 7233328 0.9660721633280686
97 35676949 20470010 0.9280918123704651
98 29275623 7493438 0.9710222153713746
100 34121385 2811001 0.28700871784799725
101 1501359 264687 0.8481481975769535
102 7141930 5951464 0.9405196369121042
103 14652153 4012167 0.9693176901912721
104 33001993 13033037 0.9753082337165713
105 36663048 19896870 0.7753243136048049
106 35148989 11926415 0.9147270460708293
107 48265222 21488056 0.8456412942918445
108 49556845 40039649 0.943475478797946
109 28605881 1415955 0.7105879567209885
110 34710274 26522205 0.9556378398249377
111 37877307 37828401 0.9449689365909508
112 46140839 7026230 0.6690891107760497
113 8644992 6362037 0.9995066420688828
114 30325042 2253750 0.8033005303142413
115 15269473 4732544 0.9227497268004289
116 13069159 12763983 0.7588250267862794
117 31996227 409784 0.5941716165777461
118 38812979 30573976 0.9984591965196717
119 13465600 2070669 0.6775947458799978
120 44434913 2543589 0.9517271505054078
121 37703206 30005025 0.9469027135581496
122 34611396 88235 0.39769086321489155
123 47568244 40336374 0.9696951370769887
125 16469567 9534512 0.9808254728810518
126 22646612 153724 0.775483292794402
127 4405568 2605032 0.8545539670935185
128 19490428 2322903 0.6117516182440712
129 28751739 218384 0.016705776549061035
130 39334514 20703628 0.9712530934772079
131 22517074 2674707 0.7562927211658771
133 16903637 5560176 0.7470322810394219
134 23277777 14935016 0.7345648843901053
135 19095648 219585 0.9747186250907857
136 5806191 2095397 0.8610058276297564
137 18144660 6141180 0.9569114036713716
