counter question1 question2 proximity
1 36052611 20231539 0.919705943628759
2 13464954 454908 0.7880610422784858
3 4243293 2570410 0.6344005657813088
4 35778726 562894 0.8755408500540599
5 31578982 19896870 0.853397911651474
6 18242903 5951464 0.8896081997771291
7 17340970 2866557 0.8968819702468206
8 32495416 5667427 0.9678424182498747
9 48147092 12096403 0.7245795835052817
10 43606011 11624220 0.26223612820244
11 24932262 8066501 0.9791490558100903
12 1330901 211143 0.8817557028512922
13 14459674 744226 0.9269407739526552
14 2378169 204784 0.9584582876911859
15 23991119 2279030 0.915679436742517
16 7847004 2696812 0.5560205357437416
17 30908704 28808130 0.867929816813038
18 29986308 3854748 0.8292869546253346
19 46579964 46369792 0.9819250509051561
20 18850930 3130311 0.8923028249875332
21 24136055 473401 0.5200111688330031
22 35551158 20001427 0.9535592999982194
23 5414920 2504959 0.7069516363742554
24 36843237 8601831 0.20297355317123264
25 5076716 64745 0.7970721987597321
26 27945620 409784 0.7074535905806011
27 1074358 27578 0.9730575597561946
28 28221528 17093862 0.7883898458773019
29 17923872 10164975 0.7550975303447313
30 4574090 2062020 0.9646488090356597
31 43083379 37278282 0.8734088398732751
32 36981563 36848307 0.9329895368424519
33 795160 40480 0.9616350984456719
34 22131527 13748124 0.23809221236291364
35 25875692 363681 0.9350838038077619
36 29400780 29380427 0.9980144576777918
37 13669567 508735 0.6598367828021537
38 30475908 1119385 0.5565379248405445
39 49401285 3728062 0.7272932171813492
40 23257469 513832 0.19981396614445138
41 10614771 4542679 0.9607089160511905
42 761588 2658922 0.9267991851489711
43 46789953 2745265 0.6390249309872135
44 17542378 4591206 0.9940770751729396
45 15533497 1660856 0.9925913953970609
46 19169771 19040802 0.5860126141281586
47 18538183 11265464 0.9804912417169811
48 49379578 20700053 0.9429375551409647
49 11072925 767372 0.8147960105959575
50 17998204 10367698 0.9462008769459119
51 6075385 739689 0.6842197568047683
52 15818109 3728062 0.8852806674088844
53 48010575 30339679 0.817449493609309
54 34284239 18582223 0.42897911108267894
55 25665867 13548573 0.9193434262016267
56 15049020 3954616 0.985750451327693
57 50132448 13100019 0.9921144983141268
58 7571250 5380177 0.943193039432107
59 13861413 13857979 0.7732601638935493
60 28679658 2745265 0.9070605377477519
61 17097704 19766 0.8836136368050368
62 9686654 3849634 0.9691096345603177
63 15871910 10382929 0.5345344992030369
64 20538229 3109353 0.7438733342453588
65 14006656 160970 0.6628796695674997
66 7755364 6834106 0.815523235189125
67 32824706 29108963 0.5723058840901142
68 46779095 31776546 0.775795114192538
69 6983302 3109950 0.9802097642784676
70 26213058 3336392 0.44331847219126636
71 30377843 409784 0.9384847028954081
72 39764175 3505140 0.35195160106778833
73 767372 513832 0.836229356689976
74 32536594 529085 0.706823472909264
75 38464664 22584427 0.6474402792340833
76 40395516 18198176 0.703990094550401
77 12038065 2693223 0.5612720748039975
78 29906659 28180915 0.9377751853703419
79 11791513 2331513 0.9825153372154949
80 33019759 6580677 0.8250591855348269
81 9292940 7806709 0.9780913717698836
82 27527265 4185340 0.8873843924174617
83 19614957 1661273 0.9293664626899343
84 8076534 1506410 0.5294005309595733
85 1390024 10240694 0.9406513082120636
86 39057501 17054000 0.6821090675270982
87 106820 7295096 0.9568420570354086
88 12659572 325443 0.6352124414816128
89 9606428 2660827 0.9474739560159455
90 20465381 1074869 0.8281864649364812
91 29660999 604424 0.4754106317439797
92 20442717 11187148 0.686270034159502
93 44857222 6343166 0.26364121627557047
94 21871497 19896870 0.11326431503220848
95 1163139 1612334 0.8923574638438407
96 14385772 12728527 0.9715803295082235
97 46527036 1998544 0.9661760601681526
98 31714663 12289232 0.9156252324015295
99 24866491 12618915 0.8514027864662548
100 5797473 285619 0.9653582698699468
101 33055625 6729605 0.15662720969505892
102 14248216 14074874 0.5265104220235951
103 32468431 8881291 0.6951353165602283
104 33956697 1453369 0.8449216337087136
105 34992084 215497 0.9802410481106341
106 50230897 17759004 0.7920604655792445
107 4233793 499437 0.9651650948994585
108 30880972 28818506 0.8694410765873978
109 35562905 702415 0.9025413375857284
110 22416578 6431933 0.7384932460106329
111 33967988 1647260 0.8298412642218189
112 44745523 41912028 0.6050654139863189
113 943927 48249 0.9762903483003288
114 8295256 334518 0.8685058393336829
115 14037150 3440833 0.9123713937336776
116 5512442 2422468 0.9109301256819122
117 36556446 4093504 0.9237442144736316
118 40106229 33549941 0.8931361497037617
119 15024933 1700081 0.8769194764949961
120 34998080 1841461 0.9226180895052171
121 49381647 16289983 0.9474450707744346
122 28352036 2307697 0.7943553913682859
123 34567944 28554413 0.9305109552751756
124 4007512 8918826 0.8103723742120624
125 12776307 6352139 0.9552126217269192
126 29390291 3144610 0.0
127 32294288 25425130 0.8949888597331643
128 30189606 5192512 0.876018842543112
129 15075720 3189153 0.7796724062734907
130 1154254 2340406 0.9013508334594938
131 20768720 3106452 0.8997860216082008
132 13453978 7026507 0.7994060081622696
133 44135522 44121531 0.9591002775395809
134 46999835 24633273 0.9312888437687173
135 42518637 513832 0.22690154728394982
136 49376007 16143684 0.6840176290919218
137 37565839 5306835 0.06081198770305591
138 11041418 6792197 0.372268213082596
139 47413609 22591201 0.9082635021257345
140 15402058 3512603 0.9848382166993308
141 12048877 7998669 0.947119941687839
142 31965928 17191575 0.9385817861926007
143 22408428 16030858 0.5397072378339225
144 3430780 2084169 0.9951726464779217
145 38146455 17253979 0.9625288832914083
146 28597960 5104192 0.9474293054516814
147 45511377 8387989 0.7207259186158217
148 2729580 2237803 0.9643101787894633
149 16745775 271526 0.8295565145620275
150 23082230 8330370 0.3388858370564552
151 46342169 19896870 0.30557560738501605
152 2022894 1907318 0.9785938472850648
153 17992532 13699075 0.8081766909221927
154 19918455 19889132 0.765375805292595
155 3738312 1088509 0.9514048630417686
156 24256469 17537216 0.4639257298683303
157 47588491 32771415 0.5670962546646365
158 19823761 12834887 0.7566037895587248
159 26032466 869033 0.9849232387120597
160 14355651 1671378 0.9899971692339167
161 4021851 1751844 0.7599663706839305
162 34125101 32438403 0.28996142516710394
163 9936648 7693324 0.2678279920339531
164 6609754 187453 0.8995735876412663
165 200513 2071682 0.8419562467846843
166 7034781 453388 0.9742865407294161
167 14478268 13426142 0.8498979349747094
168 14654540 366202 0.9293154038265939
169 26460732 9344305 0.817635421750293
170 37177363 2839321 0.9319179460451816
171 3222972 1453171 0.979462657713459
172 33835414 14868284 0.3607783147049741
173 25389880 14602062 0.9492419690071184
174 1196586 223918 0.9543401401367265
175 21043362 890966 0.8119868460623044
176 35695800 22518907 0.8899503075472884
177 5101121 2849450 0.9341416742012951
178 49007919 2629475 0.9680923657432995
179 45237902 17860595 0.9943076099271871
180 36827222 2983248 0.7928808715053287
181 23549433 12861726 0.9833936944609452
182 12003706 10828398 0.9967341708134915
183 36844387 14655913 0.968343092881157
184 25917531 4956844 0.6139498348187046
185 49401258 43260752 0.5443490751849308
186 32950007 223918 0.7331752995610048
187 15453826 873809 0.9650645442498585
188 7938050 6560969 0.9460149554383107
189 23863128 1200621 0.5758461527493888
190 17814293 5350950 0.9221198826935288
191 27534536 70324 0.8687415407339087
192 47284006 19896870 0.914886887780786
193 20895784 212321 0.9875825384123691
194 4491199 4955635 0.996216976768055
195 11664223 11682197 0.8754586357076444
196 30454933 3504986 0.9756957714189632
197 17734954 5258159 0.8343110322631356
198 35917722 21268062 0.8569769318750905
199 30693880 20001427 0.6942337248073724
200 25202926 44817768 0.9746950845911025
201 5944760 1636038 0.9995033306801872
202 13860496 513832 0.07204650075562659
203 38636254 16377754 0.7529259386992061
204 40422607 11817237 0.9352340526498938
205 9372387 7050233 0.7179692918225512
206 14102865 1907318 0.9830098497585034
207 17153539 10594052 0.997373077685303
208 31497002 218384 0.5390588988818694
209 33012007 218384 0.06512970402596825
210 40180280 11441666 0.6971147822240997
211 12883319 3746639 0.9765242550903417
212 28317420 869033 0.8911860431869254
213 39077303 5554734 0.850823267782779
214 16828176 668083 0.9583266318715244
215 31512187 6856133 0.9899462899405366
216 26702747 26550959 0.4980816297604506
217 13322533 2431123 0.9420210041322769
218 23883108 12548603 0.7908778431119986
219 35465166 22458575 0.8949577096770314
220 16813012 5642802 0.9831724361607433
221 33252833 52353 0.5484746273683466
222 9662541 7810074 0.8049729484666877
223 887552 37628 0.912787594547544
224 41529827 10367698 0.8828168574439018
225 13369515 11923128 0.9588930458740249
226 49556845 40039649 0.943475478797946
227 14794930 409784 0.5875731169248974
228 5789379 4894754 0.9616800742502074
229 19814713 4084005 0.13160542787781063
230 28994678 14135358 0.9754791567902292
231 19020144 2294551 0.1367376645052947
232 4753403 3502674 0.9716754980623032
233 20075940 3572160 0.8462386885141118
234 45185619 339699 0.7019084785058091
235 19721290 11461607 0.9920546884293805
236 30949614 301563 0.9868150097923268
237 40737129 6927763 0.8095423667877836
238 13332661 7475876 0.612691354681922
239 34057092 7354740 0.9282012399881309
240 21122275 4254424 0.9572181643604294
241 16267093 11450601 0.99851817364387
242 48265222 21488056 0.8456412942918445
243 2834355 37026 0.9873814404290192
244 19418955 253492 0.963680165271935
245 1448167 4076601 0.9795173188358673
246 43302147 15139231 0.9416994738549329
247 19864388 1881546 0.9402785579741608
248 50094181 199774 0.8902780761206163
249 739006 90578 0.8073144900433727
250 1830462 4386446 0.7616313007314109
251 40184984 7619058 0.7708466431208971
252 17769337 85190 0.586279256007999
253 40166849 39989324 0.8739441856750704
254 22482507 1467913 0.6008989669920426
255 32200718 4544197 0.6228017719972265
256 39786941 3106452 0.5048328248265279
257 19954253 880581 0.04755917207529113
258 34756458 513832 0.8487968889826976
259 14796921 3101339 0.30740397622159804
260 37508130 35186 0.07094907307859637
261 19865170 8777257 0.8663880418908532
262 50335259 218384 0.10648454955646404
263 34247595 10511170 0.7600585972262054
264 11175058 2294519 0.5321752723857501
265 4922145 2559527 0.9276285652294333
266 27607386 40471 0.756169207590543
267 39972506 8511063 0.9873565528897464
268 40459599 41577234 0.764355698016852
269 32067986 28210775 0.6014287068363934
270 47112296 4576222 0.97467309254516
271 32655117 25222811 0.8995838888927379
272 35261130 18119754 0.706843554320101
273 19204793 3768554 0.9542653828812762
274 21079569 16458564 0.9717078836711625
275 49080255 18552005 0.6806176628050832
276 18300499 2074012 0.7821570603889076
277 265027 24596 0.9842910333138443
278 47611006 215497 0.9142867968920998
279 47501504 14142853 0.3579887833748503
280 49852786 28555031 0.966115930305299
281 7357526 7017688 0.949249392688926
282 14204278 3759315 0.935655229933665
283 40922663 19602727 0.6461046454782416
284 15796384 14183110 0.9772090310503152
285 4463440 2946338 0.8421451696875027
286 37109800 2422468 0.8734905897352897
287 20429590 1907318 0.8401916667944845
288 14301939 5817179 0.7998572491792528
289 47129961 2591098 0.9079790519878279
290 23737528 4485716 0.9584525782802902
291 22321501 3194545 0.9737461305029812
292 32400580 18339707 0.12099992000874646
293 6873093 306880 0.8461483535536013
294 32755419 1554112 0.8585727309905116
295 44881008 29490893 0.9043981112004237
296 12926853 12803346 0.9913711456955276
297 42176106 14000930 0.5687749978938352
298 42326353 13069402 0.7208996490577432
299 40041522 13134490 0.7523037307820283
300 9281629 4597749 0.9087484464679179
301 29798880 5103121 0.917390160324371
302 26012434 25912455 0.9531888240774729
303 35038108 5455794 0.9650298633618505
304 44851386 7961788 0.9696126462645495
305 8882097 2851938 0.7223655014776185
306 5747332 3617326 0.9723176425895197
307 2169330 1119385 0.7101093693691174
308 15854361 6607550 0.976379577158536
309 4072703 1168451 0.9869012449972394
310 9368764 52353 0.6643229489985073
311 46777132 30055585 0.0775963541340727
312 13392030 7784421 0.9894611148049853
313 15484059 18524 0.9845205270283786
314 17250259 17017966 0.574063259932661
315 1704430 4023185 0.6993641667747795
316 6535086 6531627 0.6912483609780101
317 12323907 529085 0.6052432464504162
318 28747433 24095875 0.7988296113337066
319 40640140 25493837 0.9172415738683793
320 30320055 10239936 0.9383617165063219
321 31038180 24421140 0.526735035263394
322 7434505 5407250 0.1443673528605371
323 34010203 21887358 0.965656780759546
324 46094949 16143684 0.8630437826345068
325 47422129 24554057 0.9749288754788603
326 22721400 22591499 0.8747761781336019
327 4670631 10042 0.8394552486103417
328 2081005 13186448 0.9517507473203717
329 12832006 26446599 0.4941458344876072
330 33555953 3200301 0.9095707974099466
331 34576468 19836549 0.8422519908072873
332 10305592 5063266 0.058684545457336576
333 28883248 22694884 0.39766959392877604
334 489913 40480 0.9817936026473459
335 16450972 16447597 0.9957631616994457
336 13992748 11579953 0.8264632291177552
337 21242626 6592468 0.9904240200171887
338 28250507 10143998 0.7369943346171083
339 46859012 8270784 0.9586701173734562
340 48656355 7803944 0.8206291609851291
341 9300115 2223434 0.9933395024847997
342 17608392 3504396 0.5069854884043403
343 47485667 25634542 0.9965326476799097
344 2331823 80105 0.9913352431664937
345 36459212 31237983 0.8832636777755039
346 33866082 12401547 0.9857339708405115
347 39895203 26061781 0.8891072597067549
348 27455859 5554734 0.7116947926578348
349 46997440 34985220 0.5349825755038282
350 26517276 10382929 0.5298632192050123
351 5632065 2288937 0.7111467609551702
352 25738939 3022454 0.255925806067199
353 25790826 5758660 0.9319382572009683
354 12120002 816142 0.7073209481698686
355 36093645 20987214 0.13292465448909407
356 3619796 1312383 0.9455621324487229
357 18056339 792361 0.9208375572652531
358 2592501 494180 0.9967882025311883
359 20702635 2745265 0.7600338737339897
360 15507110 2134784 0.30762571445832165
361 13894199 4448370 0.973155207338986
362 19827161 513832 0.2625688639080892
363 20000628 5402925 0.7648680698354513
364 33913611 25693309 0.9052389586026989
365 5813614 912334 0.9852657969425108
366 50168643 14136721 0.2557638523660577
367 28363416 2201925 0.9710332942414734
368 31884133 6105124 0.8224201063708695
369 20098170 1439779 0.9950339929967713
370 726599 586363 0.956566537703331
371 24173308 23620919 0.7738832989517443
